"Kreise (2020) Kennziffer";"Kreise (2020) Name";"Siedlungsstruktureller Kreistyp (2020) Kennziffer";"Siedlungsstruktureller Kreistyp (2020) Name"
"06611000";"Kassel, documenta-Stadt";"1";"kreisfreie Großstadt"
"06631000";"Fulda";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"06632000";"Hersfeld-Rotenburg";"4";"Dünn besiedelter ländlicher Kreis"
"06633000";"Kassel";"2";"Städtischer Kreis"
"06634000";"Schwalm-Eder-Kreis";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"06635000";"Waldeck-Frankenberg";"4";"Dünn besiedelter ländlicher Kreis"
"06636000";"Werra-Meißner-Kreis";"4";"Dünn besiedelter ländlicher Kreis"
"07111000";"Koblenz, kreisfreie Stadt";"1";"kreisfreie Großstadt"
"07131000";"Ahrweiler";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"07132000";"Altenkirchen (Westerwald)";"2";"Städtischer Kreis"
